_source_file,_row_index,_leaf_label,_leaf_id,_group_path,_text,_semantic_text,_dtype,_concept_label,_concept_score,_concept_source,_code_family,_facet_cond,_facet_task,_facet_variant,_facet_stat,_facet_outcome,_facet_prec
ai-mind-variable-descriptions_in_.csv,0,DMSCC,DMS > DMS Recommended Standard.DMSCC,DMS > DMS Recommended Standard,"Task: DMS | Variant: DMS Recommended Standard | name: DMSCC | description: DMS Mean Choices to Correct: The mean number of choices that the subject made on each trial, including the correct choice. Calculated across all trials where the subject eventually made the correct choice (simultaneous and all delays). | Decimal Places: 2","DMS Mean Choices to Correct: The mean number of choices that the subject made on each trial, including the correct choice. Calculated across all trials where the subject eventually made the correct choice (simultaneous and all delays).",determine,Mean Choices Correct,0.0,singleton_title,DMS,No Condition,DMS,DMS Recommended Standard,Mean,Other,2
ai-mind-variable-descriptions_in_.csv,1,DMSL0SD,DMS > DMS Recommended Standard.DMSL0SD,DMS > DMS Recommended Standard,"Task: DMS | Variant: DMS Recommended Standard | name: DMSL0SD | description: DMS Correct Latency Standard Deviation (SD) (0 second delay): The standard deviation of response latencies for trials containing a zero second delay between the presentation of target and response stimuli, where subjects selected the correct box on their first attempt. Calculated across all assessed trials containing a zero second delay. | Decimal Places: 4","DMS Correct Latency Standard Deviation (SD) (0 second delay): The standard deviation of response latencies for trials containing a zero second delay between the presentation of target and response stimuli, where subjects selected the correct box on their first attempt. Calculated across all assessed trials containing a zero second delay.",determine,Correct Latency Standard Deviation,0.687,description_title,DMSL,0,DMS,DMS Recommended Standard,Standard Deviation,Other,4
ai-mind-variable-descriptions_in_.csv,2,DMSL12SD,DMS > DMS Recommended Standard.DMSL12SD,DMS > DMS Recommended Standard,"Task: DMS | Variant: DMS Recommended Standard | name: DMSL12SD | description: DMS Correct Latency Standard Deviation (SD) (12 second delay): The standard deviation of response latencies for trials containing a twelve second delay between the presentation of target and response stimuli, where subjects selected the correct box on their first attempt. Calculated across all assessed trials containing a twelve second delay. | Decimal Places: 4","DMS Correct Latency Standard Deviation (SD) (12 second delay): The standard deviation of response latencies for trials containing a twelve second delay between the presentation of target and response stimuli, where subjects selected the correct box on their first attempt. Calculated across all assessed trials containing a twelve second delay.",determine,Correct Latency Standard Deviation,0.687,description_title,DMSL,12,DMS,DMS Recommended Standard,Standard Deviation,Other,4
ai-mind-variable-descriptions_in_.csv,3,DMSL4SD,DMS > DMS Recommended Standard.DMSL4SD,DMS > DMS Recommended Standard,"Task: DMS | Variant: DMS Recommended Standard | name: DMSL4SD | description: DMS Correct Latency Standard Deviation (SD) (4 second delay): The standard deviation of response latencies for trials containing a four second delay between the presentation of target and response stimuli, where subjects selected the correct box on their first attempt. Calculated across all assessed trials containing a four second delay. | Decimal Places: 4","DMS Correct Latency Standard Deviation (SD) (4 second delay): The standard deviation of response latencies for trials containing a four second delay between the presentation of target and response stimuli, where subjects selected the correct box on their first attempt. Calculated across all assessed trials containing a four second delay.",determine,Correct Latency Standard Deviation,0.687,description_title,DMSL,4,DMS,DMS Recommended Standard,Standard Deviation,Other,4
ai-mind-variable-descriptions_in_.csv,4,DMSLADSD,DMS > DMS Recommended Standard.DMSLADSD,DMS > DMS Recommended Standard,"Task: DMS | Variant: DMS Recommended Standard | name: DMSLADSD | description: DMS Correct Latency Standard Deviation (SD) (all delays): The standard deviation of response latencies for trials containing a delay between the presentation of target stimulus and response stimuli, where subjects selected the correct box on their first attempt. Calculated across all assessed trials containing a delay. | Decimal Places: 4","DMS Correct Latency Standard Deviation (SD) (all delays): The standard deviation of response latencies for trials containing a delay between the presentation of target stimulus and response stimuli, where subjects selected the correct box on their first attempt. Calculated across all assessed trials containing a delay.",determine,Correct Latency Standard Deviation,0.687,description_title,DMSL,No Condition,DMS,DMS Recommended Standard,Standard Deviation,Other,4
ai-mind-variable-descriptions_in_.csv,5,DMSLSD,DMS > DMS Recommended Standard.DMSLSD,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSLSD | description: DMS Correct Latency Standard Deviation (SD): The standard deviation of response latencies for trials where subjects selected the correct box on their first attempt. Calculated across all correct assessed trials (simultaneous and all delays). | Decimal Places: 4,DMS Correct Latency Standard Deviation (SD): The standard deviation of response latencies for trials where subjects selected the correct box on their first attempt. Calculated across all correct assessed trials (simultaneous and all delays).,determine,Correct Latency Standard Deviation,0.687,description_title,DMSLS,No Condition,DMS,DMS Recommended Standard,Standard Deviation,Other,4
ai-mind-variable-descriptions_in_.csv,6,DMSLSSD,DMS > DMS Recommended Standard.DMSLSSD,DMS > DMS Recommended Standard,"Task: DMS | Variant: DMS Recommended Standard | name: DMSLSSD | description: DMS Correct Latency Standard Deviation (SD) (simultaneous): The standard deviation of response latencies for trials containing a simultaneous presentation of target and response stimuli, where subjects selected the correct box on their first attempt. Calculated across all assessed trials containing simultaneous presentations. | Decimal Places: 4","DMS Correct Latency Standard Deviation (SD) (simultaneous): The standard deviation of response latencies for trials containing a simultaneous presentation of target and response stimuli, where subjects selected the correct box on their first attempt. Calculated across all assessed trials containing simultaneous presentations.",determine,Correct Latency Standard Deviation,0.687,description_title,DMSLS,No Condition,DMS,DMS Recommended Standard,Standard Deviation,Other,4
ai-mind-variable-descriptions_in_.csv,7,DMSMDL,DMS > DMS Recommended Standard.DMSMDL,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSMDL | description: DMS Median Correct Latency: The median latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt. Calculated across all correct assessed trials (simultaneous and all delays). | Decimal Places: 4,DMS Median Correct Latency: The median latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt. Calculated across all correct assessed trials (simultaneous and all delays).,determine,Correct Latency Mean,0.625,keybert,DMSMDL,No Condition,DMS,DMS Recommended Standard,Median,Other,4
ai-mind-variable-descriptions_in_.csv,8,DMSMDL0,DMS > DMS Recommended Standard.DMSMDL0,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSMDL0 | description: DMS Median Correct Latency (0 seconds delay): The median latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a zero second delay. Calculated across all assessed trials containing a zero second delay. | Decimal Places: 4,DMS Median Correct Latency (0 seconds delay): The median latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a zero second delay. Calculated across all assessed trials containing a zero second delay.,determine,Correct Latency Mean,0.625,keybert,DMSMDL,0,DMS,DMS Recommended Standard,Median,Other,4
ai-mind-variable-descriptions_in_.csv,9,DMSMDL12,DMS > DMS Recommended Standard.DMSMDL12,DMS > DMS Recommended Standard,Task: DMS | Variant: DMS Recommended Standard | name: DMSMDL12 | description: DMS Median Correct Latency (12 seconds delay): The median latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a twelve second delay. Calculated across all assessed trials containing a twelve second delay. | Decimal Places: 4,DMS Median Correct Latency (12 seconds delay): The median latency between the presentation of the response stimuli options and the subject selecting the correct box on their first attempt for trials containing a twelve second delay. Calculated across all assessed trials containing a twelve second delay.,determine,Correct Latency Mean,0.625,keybert,DMSMDL,12,DMS,DMS Recommended Standard,Median,Other,4
